write_date,article_id,subject,carrier,plan_bucket,plan_name,new_amount,mnp_amount,status,source_text
2025-01-07 10:38:13,260,케이엘모바일_부성정책_ 1월 7일_ 2차 정책_KTM수정,skylife,11GB,auto_candidate,45000,185000,needs_review,"모 두 충분 1168+( 밀 리 의 서재) | 33.000 | 무제한 | 무제한 | 300 분 |1106+ 일 208 34665 | 45000 | 185,000 | 34500 79,500"
2025-01-07 10:38:13,260,케이엘모바일_부성정책_ 1월 7일_ 2차 정책_KTM수정,skylife,7GB,auto_candidate,45000,160000,needs_review,"2588 768+( 밀 리 의 서재) | 16200 | 무제한 | 무제한 | 300 분 70 | 71065 | 45,000 | 160,000 | 34500 54,500"
2025-01-07 10:38:13,260,케이엘모바일_부성정책_ 1월 7일_ 2차 정책_KTM수정,umobile,11GB,auto_candidate,44000,44000,needs_review,"LTE 4514 스페셜 33,900 무제한 무제한 | 300 분 | 1168+ 일 268 | aMbps | 44,000 44,000"
2025-01-08 10:11:24,261,케이엘모바일_부성정책_ 1월 8일_ 2-1차 정책,hello,7GB,auto_candidate,30000,30000,needs_review,"DATA 걱 정 없는 유심 768 | 45,100 | 27,600 | 17,500 | 무제한 | 무제한 | 300% | 708 ‘Mbps 30,000 30,000"
2025-01-08 10:11:24,261,케이엘모바일_부성정책_ 1월 8일_ 2-1차 정책,ktm,11GB,auto_candidate,120000,140000,needs_review,"2008 보 프 리 미 원 1168 44900 eae | Fae nics+aizcs| saps | 40000 | 120,000 | 140000 | 40000 | 100.000 | 120,00"
2025-01-08 10:11:24,261,케이엘모바일_부성정책_ 1월 8일_ 2-1차 정책,skylife,11GB,auto_candidate,45000,185000,needs_review,"모 두 충분 1168+( 밀 리 의 서재) | 33.000 | 무제한 | 무제한 | 300 분 |1106+ 일 208 34665 | 45000 | 185,000 | 34500 79,500"
2025-01-08 10:11:24,261,케이엘모바일_부성정책_ 1월 8일_ 2-1차 정책,skylife,7GB,auto_candidate,45000,160000,needs_review,"2588 768+( 밀 리 의 서재) | 16200 | 무제한 | 무제한 | 300 분 70 | 71065 | 45,000 | 160,000 | 34500 54,500"
2025-01-08 10:11:24,261,케이엘모바일_부성정책_ 1월 8일_ 2-1차 정책,umobile,11GB,auto_candidate,44000,44000,needs_review,"LTE 4514 스페셜 33,900 무제한 무제한 | 300 분 | 1168+ 일 268 | aMbps | 44,000 44,000"
2025-01-09 10:21:02,262,케이엘모바일_부성정책_ 1월 9일_ 2-2차 정책,hello,7GB,auto_candidate,30000,30000,needs_review,"DATA 걱 정 없는 유심 768 | 45,100 | 27,600 | 17,500 | 무제한 | 무제한 | 300% | 708 ‘Mbps 30,000 30,000"
2025-01-09 10:21:02,262,케이엘모바일_부성정책_ 1월 9일_ 2-2차 정책,ktm,11GB,auto_candidate,120000,140000,needs_review,"2008 보 프 리 미 원 1168 44900 eae | Fae nics+aizcs| saps | 40000 | 120,000 | 140000 | 40000 | 100.000 | 120,00"
2025-01-09 10:21:02,262,케이엘모바일_부성정책_ 1월 9일_ 2-2차 정책,sk7,11GB,auto_candidate,20000,220000,needs_review,"attzoce| —caink ness) — | 54560 | 41200 | 무제한 | 무제한 | 300 분 | 1168 | 일 208+30009 20000 | 220,000 | 20000 | 220000"
2025-01-09 10:21:02,262,케이엘모바일_부성정책_ 1월 9일_ 2-2차 정책,sk7,7GB,auto_candidate,50000,170000,needs_review,"‘atisce | ure we (/68+/ 통 화 람 껏 ) | 46400 | 19,40 | east | east | soe | 768 | mbps | 50000 | 170,000 | 20000 | 170,000"
2025-01-09 10:21:02,262,케이엘모바일_부성정책_ 1월 9일_ 2-2차 정책,skylife,11GB,auto_candidate,45000,185000,needs_review,"모 두 충분 1168+( 밀 리 의 서재) | 33.000 | 무제한 | 무제한 | 300 분 |1106+ 일 208 34665 | 45000 | 185,000 | 34500 79,500"
2025-01-09 10:21:02,262,케이엘모바일_부성정책_ 1월 9일_ 2-2차 정책,skylife,7GB,auto_candidate,45000,160000,needs_review,"2588 768+( 밀 리 의 서재) | 16200 | 무제한 | 무제한 | 300 분 70 | 71065 | 45,000 | 160,000 | 34500 54,500"
2025-01-09 10:21:02,262,케이엘모바일_부성정책_ 1월 9일_ 2-2차 정책,umobile,11GB,auto_candidate,44000,44000,needs_review,"LTE 4514 스페셜 33,900 무제한 무제한 | 300 분 | 1168+ 일 268 | aMbps | 44,000 44,000"
2025-01-11 09:22:52,263,케이엘모바일_부성정책_ 1월 11일_ 2-3차 정책,hello,7GB,auto_candidate,30000,30000,needs_review,"DATA 걱 정 없는 유심 768 | 45,100 | 27,600 | 17,500 | 무제한 | 무제한 | 300% | 708 ‘Mbps 30,000 30,000"
2025-01-11 09:22:52,263,케이엘모바일_부성정책_ 1월 11일_ 2-3차 정책,ktm,11GB,auto_candidate,120000,140000,needs_review,"2008 보 프 리 미 원 1168 44900 eae | Fae nics+aizcs| saps | 40000 | 120,000 | 140000 | 40000 | 100.000 | 120,00"
2025-01-11 09:22:52,263,케이엘모바일_부성정책_ 1월 11일_ 2-3차 정책,sk7,11GB,auto_candidate,20000,220000,needs_review,"attzoce| —caink ness) — | 54560 | 41200 | 무제한 | 무제한 | 300 분 | 1168 | 일 208+30009 20000 | 220,000 | 20000 | 220000"
2025-01-11 09:22:52,263,케이엘모바일_부성정책_ 1월 11일_ 2-3차 정책,sk7,7GB,auto_candidate,50000,170000,needs_review,"‘atisce | ure we (/68+/ 통 화 람 껏 ) | 46400 | 19,40 | east | east | soe | 768 | mbps | 50000 | 170,000 | 20000 | 170,000"
2025-01-11 09:22:52,263,케이엘모바일_부성정책_ 1월 11일_ 2-3차 정책,skylife,11GB,auto_candidate,45000,185000,needs_review,"모 두 충분 1168+( 밀 리 의 서재) | 33.000 | 무제한 | 무제한 | 300 분 |1106+ 일 208 34665 | 45000 | 185,000 | 34500 79,500"
2025-01-11 09:22:52,263,케이엘모바일_부성정책_ 1월 11일_ 2-3차 정책,skylife,7GB,auto_candidate,45000,160000,needs_review,"2588 768+( 밀 리 의 서재) | 16200 | 무제한 | 무제한 | 300 분 70 | 71065 | 45,000 | 160,000 | 34500 54,500"
2025-01-11 09:22:52,263,케이엘모바일_부성정책_ 1월 11일_ 2-3차 정책,umobile,11GB,auto_candidate,44000,197000,needs_review,"LTE USIM 스페셜           33,900           무제한          무제한 | 300% | 1168+일268 | 3Mbps | 44,000 | 197,000 | 44,000 | 197,000"
2025-01-17 10:08:43,264,케이엘모바일_부성정책_ 1월 17일_ 2-4차 정책,hello,7GB,auto_candidate,30000,30000,needs_review,"DATA 걱 정 없는 유심 768 | 45,100 | 27,600 | 17,500 | 무제한 | 무제한 | 300% | 708 ‘Mbps 30,000 30,000"
2025-01-17 10:08:43,264,케이엘모바일_부성정책_ 1월 17일_ 2-4차 정책,ktm,11GB,auto_candidate,120000,140000,needs_review,"2008 보 프 리 미 원 1168 44900 eae | Fae nics+aizcs| saps | 40000 | 120,000 | 140000 | 40000 | 100.000 | 120,00"
2025-01-17 10:08:43,264,케이엘모바일_부성정책_ 1월 17일_ 2-4차 정책,sk7,11GB,manual_image_confirmed,50000,150000,manual_fixed,2025-01-17 2-4차 image: LTE 알뜰 11GB+ 내국인 010신규/MNP
2025-01-17 10:08:43,264,케이엘모바일_부성정책_ 1월 17일_ 2-4차 정책,sk7,7GB,manual_image_confirmed,50000,110000,manual_fixed,2025-01-17 2-4차 image: LTE 알뜰 7GB 내국인 010신규/MNP
2025-01-17 10:08:43,264,케이엘모바일_부성정책_ 1월 17일_ 2-4차 정책,skylife,11GB,auto_candidate,45000,185000,needs_review,"모 두 충분 1168+( 밀 리 의 서재) | 33.000 | 무제한 | 무제한 | 300 분 |1106+ 일 208 34665 | 45000 | 185,000 | 34500 79,500"
