article_id,carrier,plan_bucket,plan_name,new_amount,mnp_amount,memo
275,ktm,7GB,manual_image_confirmed,40000,100000,2025-02-07 2차 image: M 스페셜 7GB 내국인 010신규/MNP
275,ktm,11GB,manual_image_confirmed,40000,120000,2025-02-07 2차 image: M 프리미엄 11GB 내국인 010신규/MNP
275,sk7,7GB,manual_image_confirmed,60000,120000,2025-02-07 2차 image: LTE 알뜰 7GB+ 내국인 010신규/MNP
275,sk7,11GB,manual_image_confirmed,60000,140000,2025-02-07 2차 image: LTE 알뜰 11GB+ 내국인 010신규/MNP
276,ktm,7GB,manual_image_confirmed,40000,100000,2025-02-08 2-1차 image: M 스페셜 7GB 내국인 010신규/MNP
276,ktm,11GB,manual_image_confirmed,40000,120000,2025-02-08 2-1차 image: M 프리미엄 11GB 내국인 010신규/MNP
277,hello,7GB,manual_image_confirmed,30000,130000,2025-02-18 3차 image: DATA 걱정없는 유심 7GB 내국인 010신규/MNP
277,hello,11GB,manual_image_confirmed,30000,110000,2025-02-18 3차 image: THE 착한 데이터 유심 11GB 내국인 010신규/MNP
277,ktm,7GB,manual_image_confirmed,40000,100000,2025-02-18 3차 image: M 스페셜 7GB 내국인 010신규/MNP
277,ktm,11GB,manual_image_confirmed,40000,120000,2025-02-18 3차 image: M 프리미엄 11GB 내국인 010신규/MNP
278,hello,7GB,manual_image_confirmed,30000,130000,2025-02-19 3-1차 image: DATA 걱정없는 유심 7GB 내국인 010신규/MNP
278,hello,11GB,manual_image_confirmed,30000,110000,2025-02-19 3-1차 image: THE 착한 데이터 유심 11GB 내국인 010신규/MNP
278,ktm,7GB,manual_image_confirmed,40000,100000,2025-02-19 3-1차 image: M 스페셜 7GB 내국인 010신규/MNP
278,ktm,11GB,manual_image_confirmed,40000,120000,2025-02-19 3-1차 image: M 프리미엄 11GB 내국인 010신규/MNP
279,ktm,7GB,manual_image_confirmed,40000,90000,2025-03-01 1차 image: M 스페셜 7GB 내국인 010신규/MNP
279,ktm,11GB,manual_image_confirmed,40000,110000,2025-03-01 1차 image: M 프리미엄 11GB 내국인 010신규/MNP
280,ktm,7GB,manual_image_confirmed,40000,90000,2025-03-03 1-1차 image: M 스페셜 7GB 내국인 010신규/MNP
280,ktm,11GB,manual_image_confirmed,40000,110000,2025-03-03 1-1차 image: M 프리미엄 11GB 내국인 010신규/MNP
282,ktm,7GB,manual_image_confirmed,40000,90000,2025-03-05 1-2차 image: M 스페셜 7GB 내국인 010신규/MNP
282,ktm,11GB,manual_image_confirmed,40000,110000,2025-03-05 1-2차 image: M 프리미엄 11GB 내국인 010신규/MNP
283,ktm,7GB,manual_image_confirmed,40000,90000,2025-03-06 1-3차 image: M 스페셜 7GB 내국인 010신규/MNP
283,ktm,11GB,manual_image_confirmed,40000,110000,2025-03-06 1-3차 image: M 프리미엄 11GB 내국인 010신규/MNP
286,sk7,7GB,manual_image_confirmed,50000,80000,2025-03-21 1-6차 image: LTE 알뜰 7GB+ 내국인 010신규/MNP
286,sk7,11GB,manual_image_confirmed,50000,100000,2025-03-21 1-6차 image: LTE 알뜰 11GB+ 내국인 010신규/MNP
287,hello,7GB,manual_image_confirmed,30000,110000,2025-03-22 1-7차 image: DATA 걱정없는 유심 7GB 내국인 010신규/MNP
287,hello,11GB,manual_image_confirmed,30000,110000,2025-03-22 1-7차 image: THE 착한 데이터 유심 11GB 내국인 010신규/MNP
287,sk7,7GB,manual_image_confirmed,50000,80000,2025-03-22 1-7차 image: LTE 알뜰 7GB+ 내국인 010신규/MNP
287,sk7,11GB,manual_image_confirmed,50000,100000,2025-03-22 1-7차 image: LTE 알뜰 11GB+ 내국인 010신규/MNP
288,hello,7GB,manual_image_confirmed,30000,110000,2025-03-28 1-8차 image: DATA 걱정없는 유심 7GB 내국인 010신규/MNP
288,hello,11GB,manual_image_confirmed,30000,110000,2025-03-28 1-8차 image: THE 착한 데이터 유심 11GB 내국인 010신규/MNP
289,ktm,7GB,manual_image_confirmed,40000,80000,2025-04-01 1차 image: M 스페셜 7GB 내국인 010신규/MNP
289,ktm,11GB,manual_image_confirmed,40000,90000,2025-04-01 1차 image: M 프리미엄 11GB 내국인 010신규/MNP
292,ktm,7GB,manual_image_confirmed,40000,80000,2025-04-03 2차 image: M 스페셜 7GB 내국인 010신규/MNP
292,ktm,11GB,manual_image_confirmed,40000,90000,2025-04-03 2차 image: M 프리미엄 11GB 내국인 010신규/MNP
293,ktm,7GB,manual_image_confirmed,40000,80000,2025-04-04 2-1차 image: M 스페셜 7GB 내국인 010신규/MNP
293,ktm,11GB,manual_image_confirmed,40000,90000,2025-04-04 2-1차 image: M 프리미엄 11GB 내국인 010신규/MNP
293,umobile,7GB,manual_image_confirmed,55000,100000,2025-04-04 2-1차 image: LTE 7GB+ 내국인 010신규/MNP
293,umobile,11GB,manual_image_confirmed,55000,120000,2025-04-04 2-1차 image: LTE 스페셜 11GB+일2GB 내국인 010신규/MNP
299,ktm,7GB,manual_image_confirmed,40000,80000,2025-04-08 2-2차 image: M 스페셜 7GB 내국인 010신규/MNP
299,ktm,11GB,manual_image_confirmed,40000,90000,2025-04-08 2-2차 image: M 프리미엄 11GB 내국인 010신규/MNP
299,umobile,7GB,manual_image_confirmed,55000,100000,2025-04-08 2-2차 image: LTE 7GB+ 내국인 010신규/MNP
299,umobile,11GB,manual_image_confirmed,55000,110000,2025-04-08 2-2차 image: LTE 스페셜 11GB+일2GB 내국인 010신규/MNP
300,ktm,7GB,manual_image_confirmed,40000,80000,2025-04-09 2-3차 image: M 스페셜 7GB 내국인 010신규/MNP
300,ktm,11GB,manual_image_confirmed,40000,90000,2025-04-09 2-3차 image: M 프리미엄 11GB 내국인 010신규/MNP
300,umobile,7GB,manual_image_confirmed,55000,100000,2025-04-09 2-3차 image: LTE 7GB+ 내국인 010신규/MNP
300,umobile,11GB,manual_image_confirmed,55000,110000,2025-04-09 2-3차 image: LTE 스페셜 11GB+일2GB 내국인 010신규/MNP
301,ktm,7GB,manual_image_confirmed,40000,80000,2025-04-12 2-4차 image: M 스페셜 7GB 내국인 010신규/MNP
301,ktm,11GB,manual_image_confirmed,40000,90000,2025-04-12 2-4차 image: M 프리미엄 11GB 내국인 010신규/MNP
301,umobile,7GB,manual_image_confirmed,55000,100000,2025-04-12 2-4차 image: LTE 7GB+ 내국인 010신규/MNP
301,umobile,11GB,manual_image_confirmed,55000,110000,2025-04-12 2-4차 image: LTE 스페셜 11GB+일2GB 내국인 010신규/MNP
302,ktm,7GB,manual_image_confirmed,40000,80000,2025-04-15 2-5차 image: M 스페셜 7GB 내국인 010신규/MNP
302,ktm,11GB,manual_image_confirmed,40000,90000,2025-04-15 2-5차 image: M 프리미엄 11GB 내국인 010신규/MNP
302,umobile,7GB,manual_image_confirmed,55000,100000,2025-04-15 2-5차 image: LTE 7GB+ 내국인 010신규/MNP
302,umobile,11GB,manual_image_confirmed,55000,110000,2025-04-15 2-5차 image: LTE 스페셜 11GB+일2GB 내국인 010신규/MNP
303,ktm,7GB,manual_image_confirmed,40000,80000,2025-04-18 2-6차 image: M 스페셜 7GB 내국인 010신규/MNP
303,ktm,11GB,manual_image_confirmed,40000,90000,2025-04-18 2-6차 image: M 프리미엄 11GB 내국인 010신규/MNP
304,ktm,7GB,manual_image_confirmed,40000,80000,2025-04-23 2-7차 image: M 스페셜 7GB 내국인 010신규/MNP
304,ktm,11GB,manual_image_confirmed,40000,90000,2025-04-23 2-7차 image: M 프리미엄 11GB 내국인 010신규/MNP
305,ktm,7GB,manual_image_confirmed,40000,80000,2025-04-26 2-8차 image: M 스페셜 7GB 내국인 010신규/MNP
305,ktm,11GB,manual_image_confirmed,40000,90000,2025-04-26 2-8차 image: M 프리미엄 11GB 내국인 010신규/MNP
306,ktm,7GB,manual_image_confirmed,40000,60000,2025-05-01 1차 image: M 스페셜 7GB 내국인 010신규/MNP
306,ktm,11GB,manual_image_confirmed,40000,80000,2025-05-01 1차 image: M 프리미엄 11GB 내국인 010신규/MNP
307,ktm,7GB,manual_image_confirmed,40000,60000,2025-05-03 1-1차 image: M 스페셜 7GB 내국인 010신규/MNP
