write_date,article_id,subject,carrier,7GB_new,7GB_mnp,11GB_new,11GB_mnp,status,local_path
2025-01-11 09:22:52,263,케이엘모바일_부성정책_ 1월 11일_ 2-3차 정책,skylife,45000,160000,45000,185000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/263/skylife.jpg
2025-01-11 09:22:52,263,케이엘모바일_부성정책_ 1월 11일_ 2-3차 정책,umobile,,,44000,197000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/263/umobile.jpg
2025-01-17 10:08:43,264,케이엘모바일_부성정책_ 1월 17일_ 2-4차 정책,hello,30000,30000,,,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/264/hello.jpg
2025-01-17 10:08:43,264,케이엘모바일_부성정책_ 1월 17일_ 2-4차 정책,ktm,,,120000,140000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/264/ktm.jpg
2025-01-17 10:08:43,264,케이엘모바일_부성정책_ 1월 17일_ 2-4차 정책,sk7,50000,110000,50000,150000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/264/sk7.png
2025-01-17 10:08:43,264,케이엘모바일_부성정책_ 1월 17일_ 2-4차 정책,skylife,45000,160000,45000,185000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/264/skylife.jpg
2025-01-17 10:08:43,264,케이엘모바일_부성정책_ 1월 17일_ 2-4차 정책,umobile,,,44000,197000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/264/umobile.jpg
2025-01-17 11:37:16,265,케이엘모바일_부성정책_ 1월 17일_ 2-5차 정책,hello,30000,120000,30000,70000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/265/hello.png
2025-01-17 11:37:16,265,케이엘모바일_부성정책_ 1월 17일_ 2-5차 정책,ktm,,,120000,140000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/265/ktm.jpg
2025-01-17 11:37:16,265,케이엘모바일_부성정책_ 1월 17일_ 2-5차 정책,sk7,50000,110000,50000,150000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/265/sk7.png
2025-01-17 11:37:16,265,케이엘모바일_부성정책_ 1월 17일_ 2-5차 정책,skylife,45000,160000,45000,185000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/265/skylife.jpg
2025-01-17 11:37:16,265,케이엘모바일_부성정책_ 1월 17일_ 2-5차 정책,umobile,44000,132000,44000,154000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/265/umobile.png
2025-01-17 14:50:52,266,케이엘모바일_부성정책_ 1월 17일_ 2-6차 정책,hello,30000,30000,30000,30000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/266/hello.jpg
2025-01-17 14:50:52,266,케이엘모바일_부성정책_ 1월 17일_ 2-6차 정책,ktm,,,120000,140000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/266/ktm.jpg
2025-01-17 14:50:52,266,케이엘모바일_부성정책_ 1월 17일_ 2-6차 정책,sk7,50000,110000,50000,150000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/266/sk7.png
2025-01-17 14:50:52,266,케이엘모바일_부성정책_ 1월 17일_ 2-6차 정책,skylife,45000,160000,45000,185000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/266/skylife.jpg
2025-01-17 14:50:52,266,케이엘모바일_부성정책_ 1월 17일_ 2-6차 정책,umobile,,,44000,197000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/266/umobile.jpg
2025-01-18 08:41:31,267,케이엘모바일_부성정책_ 1월 18일_ 2-7차 정책,hello,30000,140000,30000,70000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/267/hello.png
2025-01-18 08:41:31,267,케이엘모바일_부성정책_ 1월 18일_ 2-7차 정책,ktm,,,120000,140000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/267/ktm.jpg
2025-01-18 08:41:31,267,케이엘모바일_부성정책_ 1월 18일_ 2-7차 정책,sk7,50000,170000,50000,190000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/267/sk7.png
2025-01-18 08:41:31,267,케이엘모바일_부성정책_ 1월 18일_ 2-7차 정책,skylife,45000,160000,45000,185000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/267/skylife.jpg
2025-01-18 08:41:31,267,케이엘모바일_부성정책_ 1월 18일_ 2-7차 정책,umobile,,,44000,197000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/267/umobile.jpg
2025-01-21 10:23:39,268,케이엘모바일_부성정책_ 1월 21일_ 2-8차 정책,hello,30000,140000,30000,70000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/268/hello.png
2025-01-21 10:23:39,268,케이엘모바일_부성정책_ 1월 21일_ 2-8차 정책,ktm,,,120000,140000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/268/ktm.jpg
2025-01-21 10:23:39,268,케이엘모바일_부성정책_ 1월 21일_ 2-8차 정책,sk7,20000,170000,20000,190000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/268/sk7.jpg
2025-01-21 10:23:39,268,케이엘모바일_부성정책_ 1월 21일_ 2-8차 정책,skylife,45000,160000,45000,185000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/268/skylife.jpg
2025-01-21 10:23:39,268,케이엘모바일_부성정책_ 1월 21일_ 2-8차 정책,umobile,,,44000,197000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/268/umobile.jpg
2025-01-23 10:22:11,269,케이엘모바일_부성정책_ 1월 23일_ 2-9차 정책,hello,30000,140000,30000,70000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/269/hello.png
2025-01-23 10:22:11,269,케이엘모바일_부성정책_ 1월 23일_ 2-9차 정책,ktm,,,120000,140000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/269/ktm.jpg
2025-01-23 10:22:11,269,케이엘모바일_부성정책_ 1월 23일_ 2-9차 정책,skylife,45000,160000,45000,185000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/269/skylife.jpg
2025-01-23 10:22:11,269,케이엘모바일_부성정책_ 1월 23일_ 2-9차 정책,umobile,,,44000,197000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/269/umobile.jpg
2025-01-24 11:26:34,270,케이엘모바일_부성정책_ 1월 24일_ 3차 정책,hello,,,30000,70000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/270/hello.jpg
2025-01-24 11:26:34,270,케이엘모바일_부성정책_ 1월 24일_ 3차 정책,ktm,40000,80000,40000,120000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/270/ktm.jpg
2025-01-24 11:26:34,270,케이엘모바일_부성정책_ 1월 24일_ 3차 정책,sk7,90000,100000,50000,140000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/270/sk7.jpg
2025-01-24 11:26:34,270,케이엘모바일_부성정책_ 1월 24일_ 3차 정책,skylife,45000,160000,45000,185000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/270/skylife.jpg
2025-01-24 11:26:34,270,케이엘모바일_부성정책_ 1월 24일_ 3차 정책,umobile,44000,121000,44000,143000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/270/umobile.jpg
2025-01-24 12:15:49,271,케이엘모바일_부성정책_ 1월 24일_ 3-1차 정책,hello,,,30000,70000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/271/hello.jpg
2025-01-24 12:15:49,271,케이엘모바일_부성정책_ 1월 24일_ 3-1차 정책,ktm,40000,100000,40000,120000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/271/ktm.jpg
2025-01-24 12:15:49,271,케이엘모바일_부성정책_ 1월 24일_ 3-1차 정책,sk7,50000,120000,50000,140000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/271/sk7.png
2025-01-24 12:15:49,271,케이엘모바일_부성정책_ 1월 24일_ 3-1차 정책,skylife,45000,160000,45000,185000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/271/skylife.jpg
2025-01-24 12:15:49,271,케이엘모바일_부성정책_ 1월 24일_ 3-1차 정책,umobile,44000,121000,44000,143000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/271/umobile.jpg
2025-02-01 12:14:12,272,케이엘모바일_부성정책_ 2월 1일_ 1차 정책,hello,30000,130000,30000,110000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/272/hello.png
2025-02-01 12:14:12,272,케이엘모바일_부성정책_ 2월 1일_ 1차 정책,ktm,40000,100000,40000,120000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/272/ktm.jpg
2025-02-01 12:14:12,272,케이엘모바일_부성정책_ 2월 1일_ 1차 정책,sk7,40000,150000,40000,170000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/272/sk7.jpg
2025-02-01 12:14:12,272,케이엘모바일_부성정책_ 2월 1일_ 1차 정책,skylife,,,45000,140000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/272/skylife.jpg
2025-02-01 12:14:12,272,케이엘모바일_부성정책_ 2월 1일_ 1차 정책,umobile,,,44000,153000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/272/umobile.png
2025-02-05 10:42:12,274,케이엘모바일_부성정책_ 2월 5일_ 1-1차 정책,hello,30000,130000,30000,110000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/274/hello.png
2025-02-05 10:42:12,274,케이엘모바일_부성정책_ 2월 5일_ 1-1차 정책,ktm,40000,100000,40000,120000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/274/ktm.jpg
2025-02-05 10:42:12,274,케이엘모바일_부성정책_ 2월 5일_ 1-1차 정책,sk7,60000,110000,60000,130000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/274/sk7.jpg
2025-02-05 10:42:12,274,케이엘모바일_부성정책_ 2월 5일_ 1-1차 정책,skylife,,,45000,140000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/274/skylife.jpg
2025-02-05 10:42:12,274,케이엘모바일_부성정책_ 2월 5일_ 1-1차 정책,umobile,,,44000,153000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/274/umobile.png
2025-02-07 10:35:51,275,케이엘모바일_부성정책_ 2월 7일_ 2차 정책,hello,,,30000,120000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/275/hello.jpg
2025-02-07 10:35:51,275,케이엘모바일_부성정책_ 2월 7일_ 2차 정책,ktm,40000,100000,40000,120000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/275/ktm.jpg
2025-02-07 10:35:51,275,케이엘모바일_부성정책_ 2월 7일_ 2차 정책,sk7,60000,120000,60000,140000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/275/sk7.jpg
